Year,LapNumber,LapTimeSeconds,Compound,Circuit,Driver,TrackLengthM,TyreLife,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2024,41.0,84.039,HARD,monaco,RUS,3337,8.0,,,,,,,,
2024,42.0,82.799,HARD,monaco,RUS,3337,9.0,,,,,,,,
2024,43.0,82.939,HARD,monaco,RUS,3337,10.0,,,,,,,,
2024,44.0,82.923,HARD,monaco,RUS,3337,11.0,,,,,,,,
2024,45.0,82.685,HARD,monaco,RUS,3337,12.0,,,,,,,,
2024,46.0,82.419,HARD,monaco,RUS,3337,13.0,,,,,,,,
2024,47.0,82.343,HARD,monaco,RUS,3337,14.0,,,,,,,,
2024,48.0,82.165,HARD,monaco,RUS,3337,15.0,,,,,,,,
2024,49.0,82.036,HARD,monaco,RUS,3337,16.0,,,,,,,,
2024,50.0,82.156,HARD,monaco,RUS,3337,17.0,,,,,,,,
2024,51.0,82.311,HARD,monaco,RUS,3337,18.0,,,,,,,,
2024,52.0,82.447,HARD,monaco,RUS,3337,19.0,,,,,,,,
2024,53.0,82.7,HARD,monaco,RUS,3337,20.0,,,,,,,,
2024,2.0,85.731,MEDIUM,monaco,SAI,3337,2.0,,,,,,,,
2024,3.0,85.358,MEDIUM,monaco,SAI,3337,3.0,,,,,,,,
2024,4.0,85.086,MEDIUM,monaco,SAI,3337,4.0,,,,,,,,
2024,5.0,85.006,MEDIUM,monaco,SAI,3337,5.0,,,,,,,,
2024,6.0,84.642,MEDIUM,monaco,SAI,3337,6.0,,,,,,,,
2024,7.0,84.715,MEDIUM,monaco,SAI,3337,7.0,,,,,,,,
2024,8.0,84.87,MEDIUM,monaco,SAI,3337,8.0,,,,,,,,
2024,9.0,84.774,MEDIUM,monaco,SAI,3337,9.0,,,,,,,,
2024,10.0,84.684,MEDIUM,monaco,SAI,3337,10.0,,,,,,,,
2024,11.0,85.066,MEDIUM,monaco,SAI,3337,11.0,,,,,,,,
2024,12.0,85.276,MEDIUM,monaco,SAI,3337,12.0,,,,,,,,
2024,13.0,85.423,MEDIUM,monaco,SAI,3337,13.0,,,,,,,,
2024,14.0,85.234,MEDIUM,monaco,SAI,3337,14.0,,,,,,,,
2024,15.0,85.183,MEDIUM,monaco,SAI,3337,15.0,,,,,,,,
2024,16.0,85.341,MEDIUM,monaco,SAI,3337,16.0,,,,,,,,
2024,17.0,85.407,MEDIUM,monaco,SAI,3337,17.0,,,,,,,,
2024,18.0,85.678,MEDIUM,monaco,SAI,3337,18.0,,,,,,,,
2024,21.0,84.499,HARD,monaco,SAI,3337,2.0,,,,,,,,
2024,22.0,84.226,HARD,monaco,SAI,3337,3.0,,,,,,,,
2024,23.0,84.557,HARD,monaco,SAI,3337,4.0,,,,,,,,
2024,24.0,83.682,HARD,monaco,SAI,3337,5.0,,,,,,,,
2024,25.0,83.687,HARD,monaco,SAI,3337,6.0,,,,,,,,
2024,26.0,83.503,HARD,monaco,SAI,3337,7.0,,,,,,,,
2024,27.0,83.503,HARD,monaco,SAI,3337,8.0,,,,,,,,
2024,28.0,83.751,HARD,monaco,SAI,3337,9.0,,,,,,,,
2024,29.0,83.473,HARD,monaco,SAI,3337,10.0,,,,,,,,
2024,30.0,83.584,HARD,monaco,SAI,3337,11.0,,,,,,,,
2024,31.0,83.33,HARD,monaco,SAI,3337,12.0,,,,,,,,
2024,32.0,83.354,HARD,monaco,SAI,3337,13.0,,,,,,,,
2024,33.0,83.412,HARD,monaco,SAI,3337,14.0,,,,,,,,
2024,34.0,83.285,HARD,monaco,SAI,3337,15.0,,,,,,,,
2024,35.0,83.334,HARD,monaco,SAI,3337,16.0,,,,,,,,
2024,36.0,83.27,HARD,monaco,SAI,3337,17.0,,,,,,,,
2024,37.0,83.29,HARD,monaco,SAI,3337,18.0,,,,,,,,
2024,38.0,83.551,HARD,monaco,SAI,3337,19.0,,,,,,,,
2024,39.0,83.809,HARD,monaco,SAI,3337,20.0,,,,,,,,
2024,40.0,83.803,HARD,monaco,SAI,3337,21.0,,,,,,,,
2024,41.0,83.337,HARD,monaco,SAI,3337,22.0,,,,,,,,
2024,42.0,83.838,HARD,monaco,SAI,3337,23.0,,,,,,,,
2024,43.0,83.793,HARD,monaco,SAI,3337,24.0,,,,,,,,
2024,44.0,83.931,HARD,monaco,SAI,3337,25.0,,,,,,,,
2024,45.0,85.113,HARD,monaco,SAI,3337,26.0,,,,,,,,
2024,46.0,84.001,HARD,monaco,SAI,3337,27.0,,,,,,,,
2024,47.0,84.09,HARD,monaco,SAI,3337,28.0,,,,,,,,
2024,48.0,84.939,HARD,monaco,SAI,3337,29.0,,,,,,,,
2024,49.0,83.921,HARD,monaco,SAI,3337,30.0,,,,,,,,
2024,50.0,83.769,HARD,monaco,SAI,3337,31.0,,,,,,,,
2024,51.0,83.754,HARD,monaco,SAI,3337,32.0,,,,,,,,
2024,52.0,83.722,HARD,monaco,SAI,3337,33.0,,,,,,,,
2024,53.0,83.219,HARD,monaco,SAI,3337,34.0,,,,,,,,
2024,2.0,86.043,MEDIUM,monaco,HAM,3337,2.0,,,,,,,,
2024,3.0,85.63,MEDIUM,monaco,HAM,3337,3.0,,,,,,,,
2024,4.0,85.722,MEDIUM,monaco,HAM,3337,4.0,,,,,,,,
2024,5.0,84.771,MEDIUM,monaco,HAM,3337,5.0,,,,,,,,
2024,6.0,84.919,MEDIUM,monaco,HAM,3337,6.0,,,,,,,,
2024,7.0,85.205,MEDIUM,monaco,HAM,3337,7.0,,,,,,,,
2024,8.0,84.871,MEDIUM,monaco,HAM,3337,8.0,,,,,,,,
2024,9.0,85.035,MEDIUM,monaco,HAM,3337,9.0,,,,,,,,
2024,10.0,84.909,MEDIUM,monaco,HAM,3337,10.0,,,,,,,,
2024,11.0,84.938,MEDIUM,monaco,HAM,3337,11.0,,,,,,,,
2024,12.0,84.932,MEDIUM,monaco,HAM,3337,12.0,,,,,,,,
2024,13.0,85.329,MEDIUM,monaco,HAM,3337,13.0,,,,,,,,
2024,14.0,85.817,MEDIUM,monaco,HAM,3337,14.0,,,,,,,,
2024,17.0,84.843,HARD,monaco,HAM,3337,2.0,,,,,,,,
2024,18.0,84.831,HARD,monaco,HAM,3337,3.0,,,,,,,,
2024,19.0,84.649,HARD,monaco,HAM,3337,4.0,,,,,,,,
2024,20.0,84.64,HARD,monaco,HAM,3337,5.0,,,,,,,,
2024,21.0,84.915,HARD,monaco,HAM,3337,6.0,,,,,,,,
2024,22.0,84.613,HARD,monaco,HAM,3337,7.0,,,,,,,,
2024,23.0,84.132,HARD,monaco,HAM,3337,8.0,,,,,,,,
2024,24.0,83.818,HARD,monaco,HAM,3337,9.0,,,,,,,,
2024,25.0,83.804,HARD,monaco,HAM,3337,10.0,,,,,,,,
2024,26.0,83.673,HARD,monaco,HAM,3337,11.0,,,,,,,,
2024,27.0,83.495,HARD,monaco,HAM,3337,12.0,,,,,,,,
2024,28.0,83.64,HARD,monaco,HAM,3337,13.0,,,,,,,,
2024,29.0,83.507,HARD,monaco,HAM,3337,14.0,,,,,,,,
2024,30.0,83.445,HARD,monaco,HAM,3337,15.0,,,,,,,,
2024,31.0,83.36,HARD,monaco,HAM,3337,16.0,,,,,,,,
2024,32.0,83.328,HARD,monaco,HAM,3337,17.0,,,,,,,,
2024,33.0,83.397,HARD,monaco,HAM,3337,18.0,,,,,,,,
2024,34.0,83.531,HARD,monaco,HAM,3337,19.0,,,,,,,,
2024,35.0,83.378,HARD,monaco,HAM,3337,20.0,,,,,,,,
2024,36.0,83.601,HARD,monaco,HAM,3337,21.0,,,,,,,,
2024,39.0,82.968,HARD,monaco,HAM,3337,2.0,,,,,,,,
2024,40.0,83.012,HARD,monaco,HAM,3337,3.0,,,,,,,,
2024,41.0,82.927,HARD,monaco,HAM,3337,4.0,,,,,,,,
2024,42.0,82.52,HARD,monaco,HAM,3337,5.0,,,,,,,,
2024,43.0,82.396,HARD,monaco,HAM,3337,6.0,,,,,,,,
2024,44.0,82.136,HARD,monaco,HAM,3337,7.0,,,,,,,,
2024,45.0,82.176,HARD,monaco,HAM,3337,8.0,,,,,,,,
2024,46.0,82.307,HARD,monaco,HAM,3337,9.0,,,,,,,,
2024,47.0,82.471,HARD,monaco,HAM,3337,10.0,,,,,,,,
2024,48.0,82.794,HARD,monaco,HAM,3337,11.0,,,,,,,,
2024,49.0,82.446,HARD,monaco,HAM,3337,12.0,,,,,,,,
2024,50.0,82.243,HARD,monaco,HAM,3337,13.0,,,,,,,,
2024,51.0,82.737,HARD,monaco,HAM,3337,14.0,,,,,,,,
2024,52.0,85.703,HARD,monaco,HAM,3337,15.0,,,,,,,,
2024,53.0,81.512,HARD,monaco,HAM,3337,16.0,,,,,,,,
2024,1.0,88.179,MEDIUM,monaco,LEC,3337,1.0,,,,,,,,
2024,2.0,85.396,MEDIUM,monaco,LEC,3337,2.0,,,,,,,,
2024,3.0,85.179,MEDIUM,monaco,LEC,3337,3.0,,,,,,,,
2024,4.0,84.81,MEDIUM,monaco,LEC,3337,4.0,,,,,,,,
2024,5.0,84.603,MEDIUM,monaco,LEC,3337,5.0,,,,,,,,
2024,6.0,84.663,MEDIUM,monaco,LEC,3337,6.0,,,,,,,,
2024,7.0,84.434,MEDIUM,monaco,LEC,3337,7.0,,,,,,,,
2024,8.0,84.569,MEDIUM,monaco,LEC,3337,8.0,,,,,,,,
2024,9.0,84.362,MEDIUM,monaco,LEC,3337,9.0,,,,,,,,
2024,10.0,84.432,MEDIUM,monaco,LEC,3337,10.0,,,,,,,,
2024,11.0,84.846,MEDIUM,monaco,LEC,3337,11.0,,,,,,,,
2024,12.0,84.916,MEDIUM,monaco,LEC,3337,12.0,,,,,,,,
2024,13.0,85.529,MEDIUM,monaco,LEC,3337,13.0,,,,,,,,
2024,14.0,85.606,MEDIUM,monaco,LEC,3337,14.0,,,,,,,,
2024,17.0,84.27,HARD,monaco,LEC,3337,2.0,,,,,,,,
2024,18.0,83.875,HARD,monaco,LEC,3337,3.0,,,,,,,,
2024,19.0,84.203,HARD,monaco,LEC,3337,4.0,,,,,,,,
